파일번호,기관코드,통계표명,주기구분,수록시점,서비스명,파일유형
1,101,(파일) 다중지표 클러스터조사(1998),연,1998,1. 개요,pdf
2,101,(파일) 다중지표 클러스터조사(1998),연,1998,2. 연구 지역,xlsx
3,101,(파일) 다중지표 클러스터조사(1998),연,1998,3. 연구 주제,xlsx
4,101,(파일) 다중지표 클러스터조사(1998),연,1998,4. 식수 위생,xlsx
5,101,(파일) 다중지표 클러스터조사(1998),연,1998,5. 기초 교육,xlsx
6,101,(파일) 다중지표 클러스터조사(1998),연,1998,6. 산모 건강,xlsx
7,101,(파일) 다중지표 클러스터조사(1998),연,1998,7. 모유 수유,xlsx
8,101,(파일) 다중지표 클러스터조사(1998),연,1998,8. 아동기 질환,xlsx
9,101,(파일) 다중지표 클러스터조사(1998),연,1998,9. 설사 증상 관리,xlsx
10,101,(파일) 다중지표 클러스터조사(1998),연,1998,10. 빈혈,xlsx
11,101,(파일) 다중지표 클러스터조사(1998),연,1998,11. 저체중,xlsx
1,101,(파일) 다중지표 클러스터조사(2000),연,2000,1. 개요,pdf
2,101,(파일) 다중지표 클러스터조사(2000),연,2000,2. 연구 방법론,xlsx
3,101,(파일) 다중지표 클러스터조사(2000),연,2000,3. 영유아 사망률,xlsx
4,101,(파일) 다중지표 클러스터조사(2000),연,2000,4. 교육,xlsx
5,101,(파일) 다중지표 클러스터조사(2000),연,2000,5. 식수 위생,xlsx
6,101,(파일) 다중지표 클러스터조사(2000),연,2000,6. 아동 영양실조,xlsx
7,101,(파일) 다중지표 클러스터조사(2000),연,2000,7. 아동 건강,xlsx
8,101,(파일) 다중지표 클러스터조사(2000),연,2000,8. 모자 보건,xlsx
9,101,(파일) 다중지표 클러스터조사(2000),연,2000,9. 아동 인권,xlsx
1,101,(파일) 다중지표 클러스터조사(2009),연,2009,1. 개요,pdf
2,101,(파일) 다중지표 클러스터조사(2009),연,2009,2. 표본,xlsx
3,101,(파일) 다중지표 클러스터조사(2009),연,2009,3. 영양,xlsx
4,101,(파일) 다중지표 클러스터조사(2009),연,2009,4. 아동 건강,xlsx
5,101,(파일) 다중지표 클러스터조사(2009),연,2009,5. 식수 위생,xlsx
6,101,(파일) 다중지표 클러스터조사(2009),연,2009,6. 모자 보건,xlsx
7,101,(파일) 다중지표 클러스터조사(2009),연,2009,7. 아동 발달,xlsx
8,101,(파일) 다중지표 클러스터조사(2009),연,2009,8. 교육,xlsx
9,101,(파일) 다중지표 클러스터조사(2009),연,2009,9. 출생 등록,xlsx
10,101,(파일) 다중지표 클러스터조사(2009),연,2009,10. HIV _ AIDS,xlsx
11,101,(파일) 다중지표 클러스터조사(2009),연,2009,11. 표본 설계,xlsx
12,101,(파일) 다중지표 클러스터조사(2009),연,2009,12. 표본오차 추정,xlsx
13,101,(파일) 다중지표 클러스터조사(2009),연,2009,13. 데이터 품질,xlsx
1,101,(파일) 북한의 행정구역명,연,2015,행정구역단위별 북한의 행정구역명 및 구역수(2016),xlsx
2,101,(파일) 북한의 행정구역명,연,2014,행정구역단위별 북한의 행정구역명 및 구역수(2014),xlsx
3,101,(파일) 북한의 행정구역명,연,2013,행정구역단위별 북한의 행정구역명 및 구역수(2013),xlsx
4,101,(파일) 북한의 행정구역명,연,2012,행정구역단위별 북한의 행정구역명 및 구역수,xlsx
5,101,(파일) 북한의 행정구역명,연,2016,북한의 행정구역명,hwp
1,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,1. 개요,pdf
2,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,2. 연구 방법론,xlsx
3,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,3. 흡연,xlsx
4,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,4. 음주,xlsx
5,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,5. 혈압,xlsx
6,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2005),연,2005,6. BMI,xlsx
1,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,1. 개요,pdf
2,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,2. 연구 방법론,xlsx
3,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,3. 흡연,xlsx
4,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,4. 음주,xlsx
5,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,5. BMI,xlsx
6,101,(파일) 비전염성질환(NCD) 위험 요인 조사(2007),연,2007,6. 혈압,xlsx
1,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,1. 개요,pdf
2,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,2. 표본 설계,xlsx
3,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,3. 주택 특성 및 가구 구성,xlsx
4,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,4. 인구의 사회적 경제적 특성,xlsx
5,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,5. 출산율 및 출산 선호도,xlsx
6,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,6. 가족 계획,xlsx
7,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,7. 모자 보건,xlsx
8,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,8. 사망,xlsx
9,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,9. 고령인구 건강,xlsx
10,101,"(파일) 사회-경제,인구 및 건강조사(2014)",연,2014,10. 부록,xlsx
1,101,(파일) 생식 건강 조사(2010),연,2010,1. 개요,pdf
2,101,(파일) 생식 건강 조사(2010),연,2010,2. 소개,xlsx
3,101,(파일) 생식 건강 조사(2010),연,2010,3. 가구 특성,xlsx
4,101,(파일) 생식 건강 조사(2010),연,2010,4. 출산력,xlsx
5,101,(파일) 생식 건강 조사(2010),연,2010,5. 모자 보건,xlsx
6,101,(파일) 생식 건강 조사(2010),연,2010,6. 산전 관리,xlsx
1,101,(파일) 영양조사(1998),연,1998,1. 개요,pdf
2,101,(파일) 영양조사(1998),연,1998,2. 주요결과,xlsx
1,101,(파일) 영양조사(2002),연,2002,1. 개요,pdf
2,101,(파일) 영양조사(2002),연,2002,2. 표본,xlsx
3,101,(파일) 영양조사(2002),연,2002,3. 아동 영양실조,xlsx
4,101,(파일) 영양조사(2002),연,2002,4. 산모 영양,xlsx
5,101,(파일) 영양조사(2002),연,2002,5. 가정식품 안전,xlsx
6,101,(파일) 영양조사(2002),연,2002,6. 모유 수유,xlsx
7,101,(파일) 영양조사(2002),연,2002,7. 산전관리 및 아동 건강관리,xlsx
8,101,(파일) 영양조사(2002),연,2002,8. 면역,xlsx
9,101,(파일) 영양조사(2002),연,2002,9. 기타,xlsx
10,101,(파일) 영양조사(2002),연,2002,10. 부록,xlsx
1,101,(파일) 영양조사(2004),연,2004,1. 개요,pdf
2,101,(파일) 영양조사(2004),연,2004,2. 연구 방법론,xlsx
3,101,(파일) 영양조사(2004),연,2004,3. 조사대상,xlsx
4,101,(파일) 영양조사(2004),연,2004,4. 데이터 품질,xlsx
5,101,(파일) 영양조사(2004),연,2004,5. 아동 영양,xlsx
6,101,(파일) 영양조사(2004),연,2004,6. 산모건강,xlsx
7,101,(파일) 영양조사(2004),연,2004,7. 가용식품,xlsx
8,101,(파일) 영양조사(2004),연,2004,8. 산전관리,xlsx
9,101,(파일) 영양조사(2004),연,2004,9. 기타,xlsx
1,101,(파일) 영양조사(2012),연,2012,1. 개요,pdf
2,101,(파일) 영양조사(2012),연,2012,2. 요약,xlsx
3,101,(파일) 영양조사(2012),연,2012,3. 연구 방법론,xlsx
4,101,(파일) 영양조사(2012),연,2012,4. 아동 건강,xlsx
5,101,(파일) 영양조사(2012),연,2012,5. 여성,xlsx
6,101,(파일) 영양조사(2012),연,2012,6. 기타,xlsx
1,101,(파일) 주택의 형태별 가구수,연,2015,주택의 형태별 가구수,xlsx
2,101,(파일) 주택의 형태별 가구수,연,2010,주택형태별 가구수,xlsx
