기관코드,상위기관코드,부서여부,기관명,영문기관명,팩스번호,홈페이지주소,상세주소,통계작성여부,표준통계작성기관여부,설립근거유형,설립근거명,기관유형코드,기관유형명,서비스여부
101,,N,통계청,Statistics Korea,,https://kostat.go.kr,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
101000,101,Y,통계청 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101001,101,Y,통계청 물가통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101002,101,Y,통계청 산업동향과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101003,101,Y,통계청 산업통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101004,101,Y,통계청 서비스업동향과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101005,101,Y,통계청 서비스업통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101006,101,Y,통계청 통계분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101007,101,Y,통계청 고용복지통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101008,101,Y,통계청 농수산통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101009,101,Y,통계청 사회통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101010,101,Y,통계청 인구동향과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101011,101,Y,통계청 인구분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101012,101,Y,통계청 인구조사과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101013,101,Y,통계청 통계분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101014,101,Y,통계청 통계협력과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101015,101,Y,통계청 유통통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101016,101,Y,통계청 통계분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101017,101,Y,통계청 한국섬유산업연합회,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101018,101,Y,통계청 사회복지통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101019,101,Y,통계청 경제통계국산업통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101020,101,Y,통계청 고용통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101021,101,Y,통계청 행정정보팀,,,,,N,N,21101111,설립근거,21101110,기관유형,N
101022,101,Y,통계정보국 정보서비스과,,,,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
101023,101,Y,업무개발실,,,,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
102,,N,기획재정부,Ministry of Economy and Finance,,https://www.moef.go.kr,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
102000,102,Y,기획재정부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102001,102,Y,기획재정부 개발협력과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102002,102,Y,기획재정부 국제경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102003,102,Y,기획재정부 재정기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102004,102,Y,기획재정부 경협총괄과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102005,102,Y,기획재정부 국유재산과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102006,102,Y,기획재정부 국고국국고과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102007,102,Y,기획재정부 금융정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102008,102,Y,기획재정부 금융정책국은행제도과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102009,102,Y,세제실 조세정책관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102010,102,Y,세제실 재산소비세정책관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102011,102,Y,세제실 조세기획관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102012,102,Y,세제실 관세정책관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102013,102,Y,경제정책국 종합정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102014,102,Y,경제정책국 경제분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102015,102,Y,경제정책국 자금시장과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102016,102,Y,경제정책국 물가정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102017,102,Y,경제정책국 인력정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102018,102,Y,정책조정국 정책조정총괄과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102019,102,Y,정책조정국 산업경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102020,102,Y,정책조정국 지역경제정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102021,102,Y,정책조정국 서비스경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102022,102,Y,정책조정국 기업환경과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102023,102,Y,대외경제국 대외경제총괄과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102024,102,Y,대외경제국 국제경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102025,102,Y,대외경제국 통상조정과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102026,102,Y,대외경제국 통상정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102027,102,Y,대외경제국 개발협력과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102028,102,Y,기획조정실 비상계획관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102029,102,Y,기획조정실 기획재정담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102030,102,Y,기획조정실 정책관리담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102031,102,Y,기획조정실 규제개혁법무담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102032,102,Y,기획조정실 정보화담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102033,102,Y,국고국 국고과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102034,102,Y,국고국 국채과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102035,102,Y,국고국 출자관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102036,102,Y,공공정책국 공공혁신기획관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102037,102,Y,공공정책국 정책총괄과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102038,102,Y,공공정책국 제도기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102039,102,Y,공공정책국 평가분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102040,102,Y,공공정책국 인재경영과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102041,102,Y,공공정책국 경영혁신과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102042,102,Y,공공정책국 민영화과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102043,102,Y,예산실 예산총괄심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102044,102,Y,예산실 사회예산심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102045,102,Y,예산실 경제예산심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102046,102,Y,예산실 행정예산심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102047,102,Y,대변인 홍보담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102048,102,Y,대외경제국 남북경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102049,102,Y,대외경제국 대외경제협력관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102050,102,Y,국고국 계약제도과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102051,102,Y,재정관리국 재정관리총괄과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102052,102,Y,재정관리국 회계결산과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102053,102,Y,재정관리국 재정정보과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102054,102,Y,국고국 국유재산정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102055,102,Y,국고국 국유재산조정과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102056,102,Y,국고국 국유재산심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102057,102,Y,경제정책국 민생경제정책관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102058,102,Y,정책조정국 정책조정기획관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102059,102,Y,재정관리국 성과관리심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102060,102,Y,국제금융정책국 국제금융심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102061,102,Y,경제정책국 재정기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102062,102,Y,장기전략국 전략기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102063,102,Y,장기전략국 경쟁력전략과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102064,102,Y,장기전략국 신성장전략과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102065,102,Y,정책조정국 사회정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102066,102,Y,재정관리국 재정제도과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102067,102,Y,재정관리국 성과관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
102068,102,Y,재정관리국 타당성심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
