접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-03-0001,2025-03-04,도로보수,건설과,접수,0
2025-03-0002,2025-03-05,버스정류장불편,교통과,처리중,1
2025-03-0003,2025-03-06,도로파손,건설과,완료,5
2025-03-0004,2025-03-07,불법광고물,도시과,완료,4
2025-03-0005,2025-03-10,가로수정비,공원녹지과,완료,2
2025-03-0006,2025-03-12,민원처리지연,민원여권과,처리중,2
2025-03-0007,2025-03-17,공원시설,공원녹지과,완료,3
2025-03-0008,2025-03-17,상하수도,상하수도과,처리중,9
2025-03-0009,2025-03-17,가로등고장,도시과,완료,9
2025-03-0010,2025-03-18,가로수정비,공원녹지과,처리중,4
2025-03-0011,2025-03-20,공원시설,공원녹지과,완료,5
2025-03-0012,2025-03-21,쓰레기수거,환경과,완료,8
2025-03-0013,2025-03-21,공원시설,공원녹지과,처리중,2
2025-03-0014,2025-03-25,불법광고물,도시과,완료,2
2025-03-0015,2025-03-25,버스정류장불편,교통과,완료,10
2025-03-0016,2025-03-27,공원시설,공원녹지과,완료,10
2025-03-0017,2025-03-28,불법광고물,도시과,완료,2
2025-03-0018,2025-03-30,민원처리지연,민원여권과,완료,4
2025-03-0019,2025-03-30,도로파손,건설과,완료,6
2025-03-0020,2025-03-31,도로파손,건설과,접수,0
